Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
222;Harvey Barnes;ENG;FW,MF;Newcastle Utd;eng Premier League;25;1997;21;7;802;8.9;5;3;8;5;0;0;2;0;3.6;3.6;3.2;6.8;45;34;79;0.56;0.34;0.90;0.56;0.90;0.40;0.36;0.76;0.40;0.76
223;Leandro Barreiro Martins;LUX;MF;Mainz 05;de Bundesliga;23;2000;31;29;2606;29.0;4;1;5;4;0;0;8;0;4.5;4.5;1.1;5.6;22;93;46;0.14;0.03;0.17;0.14;0.17;0.16;0.04;0.19;0.16;0.19
224;Enzo Barrenechea;ARG;MF;Frosinone;it Serie A;22;2001;36;32;2811;31.2;0;1;1;0;0;0;10;0;0.6;0.6;1.7;2.3;10;155;24;0.00;0.03;0.03;0.00;0.03;0.02;0.05;0.07;0.02;0.07
225;Ander Barrenetxea;ESP;FW,MF;Real Sociedad;es La Liga;21;2001;29;20;1427;15.9;4;1;5;4;0;0;1;0;3.5;3.5;1.3;4.8;56;39;163;0.25;0.06;0.32;0.25;0.32;0.22;0.08;0.30;0.22;0.30
226;Pablo Barrios;ESP;MF;Atlético Madrid;es La Liga;20;2003;24;17;1555;17.3;0;1;1;0;0;0;5;0;0.9;0.9;1.9;2.8;37;98;56;0.00;0.06;0.06;0.00;0.06;0.05;0.11;0.16;0.05;0.16
227;Davide Bartesaghi;ITA;DF,MF;Milan;it Serie A;17;2005;6;0;79;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
228;Marc Bartra;ESP;DF;Betis;es La Liga;32;1991;3;3;225;2.5;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;2;5;0;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.08;0.08;0.08
229;Federico Baschirotto;ITA;DF;Lecce;it Serie A;26;1996;37;37;3294;36.6;0;1;1;0;0;0;3;1;1.7;1.5;0.7;2.1;28;96;3;0.00;0.03;0.03;0.00;0.03;0.05;0.02;0.07;0.04;0.06
230;Steven Baseya;FRA;DF;Strasbourg;fr Ligue 1;18;2005;2;0;6;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
231;Chris Basham;ENG;DF,MF;Sheffield Utd;eng Premier League;35;1988;8;3;321;3.6;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.4;1;7;6;0.00;0.00;0.00;0.00;0.00;0.04;0.07;0.10;0.04;0.10
